No,IPTG_Concentration,PC_Induction,Strain,FITC_YFP,Texas_RFP,FITC_YFP,Texas_RFP,Induce Level
78,0.2,100,42-lac,6902.628906,33.51870728,6872.315691,26.64164352,6.745317889
79,0.1,100,42-lac,7448.803711,34.34553909,7420.883793,27.46847534,8.299229775
80,0.1,100,42-lac,6881.633789,29.4934845,6859.818529,22.61642075,2.146653651
81,0.1,100,42-lac,7313.905273,32.61228561,7283.592058,25.73522186,6.515823705
82,0,100,lac-42,5426.332031,14.5928297,5404.516771,7.7158,1
83,0,100,lac-42,4922.369141,15.18228054,4892.055925,8.3052,1
84,0,100,lac-42,7313.905273,17.62618637,7285.985355,10.7491,1
85,20,100,lac-42,8236.480469,395.2070313,8214.665209,388.33,50.32941252
86,20,100,lac-42,8674.226563,711.4454956,8643.913347,704.5684,84.83444199
87,20,100,lac-42,9163.108398,637.5551147,9135.18848,630.6781,58.67251434
88,10,100,lac-42,9475.332031,337.3142395,9453.516771,330.4372,42.82623109
89,10,100,lac-42,11000.59473,733.4500122,10970.28151,726.5729,87.48392329
90,10,100,lac-42,10132.07031,417.4809875,10104.15039,410.6039,38.19883151
91,5,100,lac-42,10834.31543,273.3728638,10812.50017,266.4958,34.53912439
92,5,100,lac-42,13287.24707,694.3180542,13256.93386,687.441,82.77219102
93,5,100,lac-42,13166.37793,523.0343018,13138.45801,516.1572,48.01854591
94,2,100,lac-42,10101.24707,103.1411667,10079.43181,96.2641,12.47628603
95,2,100,lac-42,11203.48438,299.5312195,11173.17116,292.6542,35.23738912
96,2,100,lac-42,10768.50781,217.5400391,10740.58789,210.6629753,19.59815538
97,1,100,lac-42,7749.686523,32.9116745,7727.871264,26.03461075,3.374209496
98,1,100,lac-42,8569.180664,83.08206177,8538.867449,76.20499802,9.17555796
99,1,100,lac-42,8312.092773,64.52197266,8284.172855,57.6449089,5.362754798
100,0.5,100,lac-42,9219.100586,23.97561836,9197.285326,17.09855461,2.216054079
101,0.5,100,lac-42,10768.50781,40.73352432,10738.1946,33.85646057,4.076529419
102,0.5,100,lac-42,11691.58691,40.48611832,11663.667,33.60905457,3.12667887
103,0.2,100,lac-42,10605.74805,28.52162933,10583.93279,21.64456558,2.805238743
104,0.2,100,lac-42,10350.42969,36.726017,10320.11647,29.84895325,3.594000495
105,0.2,100,lac-42,10132.07031,37.51750946,10104.15039,30.64044571,2.850506669
106,0.1,100,lac-42,9446.516602,22.21762848,9424.701342,15.34056473,1.988210221
107,0.1,100,lac-42,10834.31543,31.63388062,10804.00221,24.75681686,2.980875454
108,0.1,100,lac-42,10509.27051,31.63388062,10481.35059,24.75681686,2.303147684
